tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,PaperlessBilling,TechSupport,OnlineSecurity,StreamingTV,DeviceProtection,HC_Cluster
-1.2774445836787656,-1.1603229160349193,Month-to-month,DSL,Electronic check,Yes,No,No,No,No,2
0.06632741908223598,-0.2596289419448806,One year,DSL,Mailed check,No,No,Yes,No,Yes,0
-1.2367242199587352,-0.3626603559551803,Month-to-month,DSL,Mailed check,Yes,No,Yes,No,No,2
0.5142514200025698,-0.7465354629935549,One year,DSL,Bank transfer (automatic),No,Yes,Yes,No,Yes,0
-1.2367242199587352,0.19736523310080326,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,No,2
-0.9924020376385531,1.1595456961969886,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,2
-0.4223169455581282,0.8089065291619363,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,Yes,No,2
-0.9109613101984924,-1.1636465100352518,Month-to-month,DSL,Mailed check,No,No,Yes,No,No,2
-0.1779947632379461,1.330710787214099,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,Yes,2
1.2064976032430856,-0.28621769394753876,One year,DSL,Bank transfer (automatic),No,No,Yes,No,No,0
-0.7888002190384014,-0.4922805219681379,Month-to-month,DSL,Mailed check,Yes,No,Yes,No,No,2
-0.6666391278783103,-1.5225946620711341,Two year,No,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,1
1.0436161483629645,1.182810854199314,One year,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,0
0.6771328748826912,1.2941512532104444,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes,Yes,2
-0.30015585439803716,1.3539759452164248,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,Yes,0
1.4915401492832983,1.611554480242174,Two year,Fiber optic,Credit card (automatic),No,Yes,Yes,Yes,Yes,0
0.7992939660427822,-1.4660935640654862,One year,No,Mailed check,No,No internet service,No internet service,No internet service,No internet service,1
1.5729808767233588,1.393859073220412,Two year,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,Yes,0
-0.9109613101984924,-0.31779183695069496,Month-to-month,DSL,Credit card (automatic),No,Yes,No,No,Yes,2
-0.46303730927815856,0.8404806721650927,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,Yes,2
-1.2774445836787656,-0.8346107040023594,Month-to-month,DSL,Electronic check,Yes,No,No,No,Yes,2
-0.8295205827584317,-1.4943441130683104,One year,No,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,1
-1.2774445836787656,-1.4827115340671475,Month-to-month,No,Mailed check,No,No internet service,No internet service,No internet service,No internet service,1
1.0436161483629645,-0.1615829189350795,Two year,DSL,Credit card (automatic),Yes,Yes,No,No,No,0
0.6771328748826912,-0.17155370093607614,Month-to-month,DSL,Credit card (automatic),No,Yes,Yes,No,No,2
-0.0965540357978854,-0.31446824295036285,Month-to-month,DSL,Bank transfer (automatic),Yes,No,Yes,No,No,2
0.5956921474426305,1.1495749141959914,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,2
-1.2774445836787656,-1.1486903370337564,Month-to-month,DSL,Electronic check,No,No,No,No,No,2
1.6137012404433893,0.8471278601657574,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,0
-0.62591876415828,-0.0020504069191315333,Month-to-month,DSL,Mailed check,Yes,No,No,Yes,No,2
1.5729808767233588,1.0498670941860242,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,No,Yes,0
-1.2367242199587352,1.0216165451832002,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,Yes,Yes,2
-0.21871512695797646,0.046141706085686136,One year,DSL,Mailed check,No,Yes,Yes,No,Yes,0
-1.2774445836787656,-1.481049737066981,Month-to-month,No,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,1
-1.2774445836787656,-0.6484894399837535,Month-to-month,DSL,Bank transfer (automatic),No,No,No,No,No,2
1.6137012404433893,1.1678546811978192,Two year,Fiber optic,Bank transfer (automatic),No,Yes,Yes,Yes,No,0
-1.1145631287986442,0.16412929309748078,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,No,2
0.5549717837226001,0.33363258711442517,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,No,Yes,2
0.06632741908223598,1.3822264942192488,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,2
-0.8702409464784621,1.099721004191008,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes,Yes,2
-0.9109613101984924,-0.5055748979694671,One year,DSL,Mailed check,No,No,No,No,No,0
1.5322605130033284,0.14751132309581955,Two year,DSL,Credit card (automatic),Yes,No,Yes,Yes,No,0
-0.62591876415828,-1.462769970065154,One year,No,Mailed check,No,No internet service,No internet service,No internet service,No internet service,1
1.247217966963116,0.5014740841312035,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,0
-0.7888002190384014,0.3801629031190768,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,Yes,No,0
0.6771328748826912,0.6560212051466532,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,No,2
-1.2367242199587352,-0.5155456799704636,Month-to-month,DSL,Mailed check,No,No,No,No,No,2
-1.2367242199587352,0.5280628361338618,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,2
0.7992939660427822,0.4981504901308714,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,No,0
1.4915401492832983,-0.020330173920958795,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,No,Yes,0
0.43281069256250915,0.8471278601657574,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,2
-0.7073594915983407,1.141265929195161,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,Yes,No,2
-0.30015585439803716,0.1574821050968162,Month-to-month,DSL,Credit card (automatic),Yes,Yes,Yes,Yes,No,0
-0.9924020376385531,0.5280628361338618,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,No,No,2
1.125056875803025,0.33529438411459117,One year,DSL,Credit card (automatic),Yes,Yes,Yes,No,Yes,0
-0.5851984004382496,1.0199547481830342,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,2
1.247217966963116,1.1595456961969886,One year,Fiber optic,Credit card (automatic),Yes,No,Yes,Yes,No,0
1.369379058123207,1.4520219682262263,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes,Yes,0
0.06632741908223598,-1.3231790220511994,Two year,No,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,1
1.6137012404433893,1.42044782522307,Two year,Fiber optic,Credit card (automatic),Yes,Yes,No,Yes,Yes,0
0.5956921474426305,1.1877962451998125,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,2
